model,cv_rmse,test_rmse
Baseline (LinearRegression),1.9869466398323214,2.3783697847961376
Nonlinear (Tuned DecisionTree),1.7181849062596097,2.6847187817241225
Nonlinear (Tuned RandomForest),1.5149974616541164,1.8692103799135977
