,importance
G2,0.7832976781969674
absences,0.16378196378047366
reason_home,0.03661484663926783
age,0.006966768488019089
Walc,0.003209455814178501
reason_other,0.002655905350973073
goout,0.0020265712569381565
romantic_yes,0.000576066146385552
G1,0.0005611009915867075
Fjob_other,0.00018389024094030447
Mjob_other,0.00012575309426973897
failures,0.0
famrel,0.0
Fedu,0.0
traveltime,0.0
Medu,0.0
studytime,0.0
freetime,0.0
address_U,0.0
Pstatus_T,0.0
